All,الكل
Add Gift Options for Individual Items,Add Gift Options for Individual Items
You can leave this box blank if you don't want to add a gift message for the item.,تستطيع ترك هذا المربع فارغاً اذا كنت لاتريد إضافة رسالة هدية لهذا العنصر.
Gift Message (optional),رسالة الإهداء (اختياري)
To:,إلى:
From:,من:
Message:,الرسالة:
Update,تحديث
Gift options,خيارات الهدايا
Edit,تعديل
Delete,احذف
Allow Gift Messages on Order Level,رسائل تسمح هدية على مستوى النظام
Allow Gift Messages for Order Items,السماح للرسائل هدية من اجل بنود
Are you sure you want to delete this gift registry?,هل أنت متأكد من أنك تريد حذف قائمة الهدايا هذه؟
Delete Registry,حذف السجل
Gift Registry Entity,كيان قائمة الهدايا
Product ID,الرمز التعريفي للمنتج
Product,المنتج
SKU,SKU
Price,السعر
Quantity,الكمية
Total,إجمالي
Add to Gift Registry,اضف لقائمة الهدايا
Are you sure you want to add these products?,هل أنت متأكد من إضافة هذه المنتجات؟
Update Items and Quantities,تحديث الأصناف والكميات
ID,التعريف
Requested,تم الطلب
Fulfilled,مكتملة
Note,ملحوظة
Action,إجراء
Update Quantity,تحديث الكمية
Remove Item,إزالة سلعة
Sharing Information,بيانات المشاركة
Emails,رسائل البريد الإلكتروني
Send From,إرسال من
Message,رسالة
Share Gift Registry,نشر قائمة الهدايا
Gift Registry,قائمة الهدايا
Event,الحدث
Registrants,المسجلين
Event Date,تاريخ الحدث
Total Items,مجموع القطع
Remaining,المتبقي
Public,عام
No,لا
Yes,نعم
Website,الموقع
Gift Registry Types,انواع قائمة الهدايا
Add Gift Registry Type,اضف نوع قائمة الهدايا
Save,حفظ
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?"
Delete,احذف
Save and Continue Edit,حفظ ومواصلة التعديل
Edit '%1' Gift Registry Type,Edit '%1' Gift Registry Type
New Gift Registry Type,New Gift Registry Type
Add Attribute,اضافة السمة
Delete Attribute,حذف السمة
Use Default Value,استخدام قيمة افتراضية
Short,قصير
Medium,متوسطة
Long,طويل
Full,كامل
Add New Option,اضف خيار جديد
Delete Option,حذف خيار
General Information,المعلومات العامة
Code,كود
Label,علامة
Sort Order,الترتيب
Is Listed,Is Listed
Attributes,الصفات
[GLOBAL],[عام]
[WEBSITE],[الموقع]
[STORE VIEW],[STORE VIEW]
None,لا شئ
New Address,عنوان جديد
Edit Gift Registry,تعديل قائمة الهدايا
Create Gift Registry,انشاء قائمة هدايا
State/Province,ولاية/محافظة
"Please select a region, state or province",من فضلك اختر منطقة، ولاية أو محافظة
Please Select,أختر من فضلك
View Gift Registry %1,عرض قائمة الهدايا %1
Share '%1' Gift Registry,Share '%1' Gift Registry
-- Please select --,-- اختر من فضلك --
From,من
To,إلى
Gift Registry Search,بحث بقائمة الهدايا
Select Search Type,حدد نوع البحث
Registrant,مسجل
Registry owner,صاحب القائمة
Please correct the  gift registry ID.,Please correct the  gift registry ID.
Please correct the gift registry entity.,Please correct the gift registry entity.
Shopping cart items have been added to gift registry.,Shopping cart items have been added to gift registry.
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries."
We can't add shopping cart items to the gift registry right now.,لا يمكن إضافة عناصر سلة التسوق لسجل الهدايا الآن.
You deleted this gift registry entity.,You deleted this gift registry entity.
We couldn't delete this gift registry entity.,We couldn't delete this gift registry entity.
Customers,العملاء
Edit '%1' Gift Registry,Edit '%1' Gift Registry
Something went wrong while editing the gift registry.,Something went wrong while editing the gift registry.
Please enter at least one email address.,الرجاء ادخال عنوان بريد الكتروني واحد على الأقل.
%1 email(s) were sent.,%1 email(s) were sent.
We couldn't send '%1 of %2 emails.,We couldn't send '%1 of %2 emails.
You updated this gift registry.,You updated this gift registry.
We can't update these gift registry items right now.,لا يمكن أن نقوم بتحديث سجل الهدايا الآن.
You deleted the gift registry type.,You deleted the gift registry type.
We couldn't delete this gift registry type.,We couldn't delete this gift registry type.
1%,1%
Edit Type,Edit Type
New Type,New Type
You saved the gift registry type.,You saved the gift registry type.
We can't save this gift registry type right now.,لا يمكننا حفظ نوع سجل الهدية الآن.
Page not found.,لم يتم العثور على الصفحة.
Please correct the gift registry ID.,Please correct the gift registry ID.
%1 item(s) have been added to the gift registry.,%1 item(s) have been added to the gift registry.
We have nothing to add to this gift registry.,We have nothing to add to this gift registry.
"You can't add virtual products, digital products or gift cards to gift registries.","You can't add virtual products, digital products or gift cards to gift registries."
You deleted this gift registry.,You deleted this gift registry.
Something went wrong while deleting the gift registry.,Something went wrong while deleting the gift registry.
Please correct the gift registry.,Please correct the gift registry.
Incorrect Type,نوع غير صحيح
Please correct the registrant data.,Please correct the registrant data.
Address is empty.,Address is empty.
Please select an address.,Please select an address.
Please correct the address.,الرجاء تصحيح العنوان.
You saved this gift registry.,You saved this gift registry.
We couldn't save this gift registry.,We couldn't save this gift registry.
Gift Registry Items,عناصر قائمة الهدايا
Something went wrong while sending email(s).,Something went wrong while sending email(s).
Something went wrong while sharing the gift registry.,Something went wrong while sharing the gift registry.
You updated the gift registry items.,You updated the gift registry items.
We couldn't update the gift registry.,We couldn't update the gift registry.
The wish list item has been added to this gift registry.,The wish list item has been added to this gift registry.
We couldn’t add your wish list items to your gift registry.,We couldn’t add your wish list items to your gift registry.
Please enter correct search options.,Please enter correct search options.
Please enter at least 2 letters of the first name.,Please enter at least 2 letters of the first name.
Please enter at least 2 letters of the last name.,Please enter at least 2 letters of the last name.
Please enter a valid email address.,الرجاء ادخال عنوان بريد الكتروني صحيح.
Please enter a gift registry ID.,Please enter a gift registry ID.
Please enter the quantity of items to add to cart.,Please enter the quantity of items to add to cart.
We can't add this item to your shopping cart right now.,لا يمكننا الآن إضافة هذا البند إلى عربة التسوق الخاصة بك.
Gift Registry Info,بيانات قائمة الهدايا
Please enter the "%1".,الرجاء إدخال "%1".
Please enter the correct "%1".,الرجاء إدخال "%1" الصحيح.
Custom Types,أنواع مخصصة
Static Types,Static Types
label,التسمية
Product has required options.,Product has required options.
You need to enter sender data.,You need to enter sender data.
Please add invitees.,الرجاء إضافة المدعوين.
You cannot send emails to more than %1 recipients at once,You cannot send emails to more than %1 recipients at once
Please enter a valid invitee email address.,الرجاء ادخال عنوان بريد الكتروني صحيح للمدعوا.
Please enter an invitee name.,Please enter an invitee name.
You shared the gift registry for %1 emails.,You shared the gift registry for %1 emails.
We couldn't share the registry.,We couldn't share the registry.
Private,خاص
Inactive,خاملة
Active,فعال
Please enter the title.,رجاء إدخال العنوان.
Please enter the message.,الرجاء إدخال الرسالة.
Please enter correct the Privacy setting.,Please enter correct the Privacy setting.
We cannot specify the product.,We cannot specify the product.
Please correct the  gift registry item quantity.,Please correct the  gift registry item quantity.
Please correct the gift registry item ID.,Please correct the gift registry item ID.
The quantity of "%1" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2.,The quantity of "%1" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2.
Existing quantity of "%1" product in the cart has been replaced with quantity %2 just requested.,Existing quantity of "%1" product in the cart has been replaced with quantity %2 just requested.
This product(s) is out of stock.,هذا المنتج (المنتجات) غير متوفر في المخزن.
Please correct the product for adding the item to the quote.,Please correct the product for adding the item to the quote.
Please correct the item option format.,Please correct the item option format.
An item option with code %1 already exists.,خيار المنتج بالكود %1 موجود مسبقا.
New,جديد
Please enter the first name.,الرجاء ادخال الاسم الاول.
Please enter the last name.,الرجاء ادخال الاسم الاخير.
"Please enter a valid email address(for example, daniel@x.com).",الرجاء ادخال عنوان بريد الكتروني صالح. (مثلاً: johndoe@domain.com).
Ship to the recipient's address.,Ship to the recipient's address.
-- All --,-- الكل --
Unknown gift registry identifier,Unknown gift registry identifier
All Forms,All Forms
Registrant Name Search,Registrant Name Search
Registrant Email Search,Registrant Email Search
Gift Registry ID Search,Gift Registry ID Search
Type,النوع
Owner,المالك
Created on,Created on
Shipping Address,عنوان الشحن
Shopping Cart Items,بنود سلة التسوق
New Attribute,سمة جديدة
Input Type,نوع الإدخال
Attribute Group,Attribute Group
Is Required,Is Required
Is Searcheable,يظهر في نتائج البحث
We found an attribute with this static input type already in the gift registry type. Please select a different input type.,We found an attribute with this static input type already in the gift registry type. Please select a different input type.
Show Region,Show Region
Date Format,Date Format
Is Default,هي افتراضية
Select a shipping address from your address book or enter a new address.,اختر عنوان الشحن من دفتر العناوين، او ادخال عنوان جديد.
Company,الشركة
Address,العنوان
Street Address,عنوان الشارع
Street Address %1,عنوان الشارع %1
City,المدينة
"Please select a region, state or province.",من فضلك اختر منطقة، ولاية أو محافظة.
Zip/Postal Code,الرمز البريدي
Country,الدولة
Phone Number,رقم الهاتف
Fax,فاكس
Add All To Gift Registry,Add All To Gift Registry
Ship to registrant's address,إشحن إلى العنوان المسجل
Use the gift registry shipping address,Use the gift registry shipping address
Added On,اضافة على
Qty,الكميّة
Qty Fulfilled,Qty Fulfilled
Update Gift Registry,تعديل قائمة الهدايا
Back,رجوع
This gift registry has no items.,قائمة الهدايا هذه لا يوجد بها اي عناصر.
Created On,انشئت في
Manage Items,Manage Items
Share,Share
Edit,تعديل
You haven't created a gift registry yet.,لم تقم بإنشاء سجل هدايا بعد.
Add New,إضافة جديد
Remove,ازالة
First Name,الإسم الأول
Name,اسم
Email,البريد الإلكتروني
* Required Fields,* حقول مطلوبة
Sender,المرسل
Invitee,Invitee
Maximum %1 email addresses.,%1 عنوان بريد الكتروني بحد اقصى.
Add Invitee,Add Invitee
Gift Registry Type,انواع قائمة الهدايا
Please select a gift registry type.,الرجاء تحديد نوع قائمة الهدايا.
Next,التالي
Last Name,اسم العائلة
Registrant Information,Registrant Information
Maximum %1 registrants.,Maximum %1 registrants.
Add Registrant,Add Registrant
Type:,النوع:
Privacy Settings,Privacy Settings
Status,الحاله
Gift Registry Items Updated,تم تحديث عناصر قائمة الهدايا
Product Name,اسم المنتج
Requested Quantity,الكمية المطلوبة
Fulfilled Quantity,Fulfilled Quantity
Total Fulfilled Quantity,Total Fulfilled Quantity
Remaining Quantity,الكمية المتبقية
Quantity:,الكمية:
Customize and Add to Gift Registry,تخصيص وإضافة إلى قائمة الهدايا
This won't take long . . .,هذا لن تستغرق وقتاً طويلاً.
Required Fields,* حقول مطلوبة
Search Options,Search Options
"For better search results, first choose a gift registry type. By default, we search all registry types.",لتحسين نتائج البحث، اختر نوع قائمة الهدايا أولاً. افتراضيا، نقوم بالبحث جميع أنواع القوائم.
Type Specific Options,Type Specific Options
Search,بحث
Registrant Email,Registrant Email
Gift Registry ID,رقم قائمة الهدايا
Search Results,نتائج البحث
Location,موقع
Actions,اعمال
View,عرض
Your search returned no results.,لا يوجد نتائج لبحثك.
Please enter at least two letters of the name.,Please enter at least two letters of the name.
Search By,بحث بـ
Please enter at least two letters.,Please enter at least two letters.
Unit Price,سعر الوحدة
Add to Cart,أضف لسلة التسوق
Gift Registry created at %store_name,تم اضافة قائمة الهدايا على %store_name
"%name,",%name،
You have successfully created the new gift registry "%registry_name".,قمت بنجاح بإنشاء سجل هدايا جديد"% registry_name".
Your Gift Registry Message,رسالة قائمة الهدايا
Now you can add products to your gift registry.,الآن يمكنك إضافة منتجات إلى قائمة الهدايا الخاصة بك.
Simply browse to <a href="%store_url">%store_name</a> and add the products you want to your shopping cart or wish list.,Simply browse to <a href="%store_url">%store_name</a> and add the products you want to your shopping cart or wish list.
You can then add the products to your registry from your shopping cart or wish list page.,You can then add the products to your registry from your shopping cart or wish list page.
You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.,الآن يمكنك أيضا مشاركتها مع أصدقائك وعائلتك بتسجيل الدخول إلى الحساب الخاص بك وزيارة علامة التبويب "قائمة الهدايا".
Or you can email the following link and gift registry ID to them:,أو يمكنك ارسالة الرابل التالي مع رقم قائمة الهدايا عبر البريد الإلكتروني:
Registry Location:,Registry Location:
Registry ID:,Registry ID:
Gift Registry shared at %store_name,تم نشر قائمة الهدايا على %store_name
You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.,You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.
Gift Registry:,قائمة الهدايا:
Created For:,Created For:
You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.,You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.
Gift Registry updated at %store_name,تم تحديث قائمة الهدايا على %store_name
The following items have been purchased from your gift registry "%registry_name":,تم شراء العناصر التالية من سجل الهدايا الخاص بك "% registry_name":
You can sign in to your account to view more details about this gift registry.,You can sign in to your account to view more details about this gift registry.
Ship to Recipient Address,Ship to Recipient Address
Ship Here,اشحن هنا
Recipient Address,Recipient Address
Use gift registry shipping address,استخدام عنوان الشحن بقائمة الهدايا
The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart.,The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart.
Text,نص
Gift Registry Details,تفاصيل قائمة الهدايا
Role,دور
Event Data,Event Data
Event Information,Event Information
Event Country,Event Country
My event special,My event special
My special attribute,My special attribute
Gift Registry Section,قسم قائمة الهدايا
General Options,خيارات عامة
Enable Gift Registry,تفعيل قائمة الهدايا
Maximum Registrants,Maximum Registrants
Owner Notification,Owner Notification
Email Template,قالب البريد الإلكتروني
Email Sender,مرسل البريد الإلكتروني
Gift Registry Sharing,نشر قائمة الهدايا
Maximum Sent Emails Threshold,Maximum Sent Emails Threshold
Gift Registry Update,تحديث قائمة الهدايا
Select,إختيار
Date,التاريخ
Event Region Id,Event Region Id
Event Region Text,Event Region Text
Event Location,مكان الحدث
Gift Registry Quick Search Form,بحث سريع بقائمة الهدايا
Quick Search Form Types,Quick Search Form Types
Template,قالب
Default Template,Default Template
Listed,Listed
Gift Wrapping,تغليف الهدايا
Add Gift Wrapping,اضف تغليف الهدايا
Save and Continue Edit,حفظ ومواصلة التعديل
Are you sure you want to delete this gift wrapping?,هل أنت متأكد من أنك تريد حذف تغليف هذه الهدية؟
Edit Gift Wrapping "%1",تعديل تغيلف الهدية "%1"
New Gift Wrapping,تغليف هدايا جديد
Gift Wrapping Information,معلومات لف الهدية
Gift Wrapping Design,تصميم لفة الهدية
Websites,الموقع
Status,الحاله
Enabled,تفعيل
Disabled,غير مفعل
Price,السعر
Image,صورة
[GLOBAL],[عام]
[WEBSITE],[الموقع]
[STORE VIEW],[عرض المتجر]
Please request the correct gift wrapping.,Please request the correct gift wrapping.
You updated a total of %1 records.,تم تحديث مجموعة %1 سجلات.
Something went wrong while updating the wrapping(s) status.,Something went wrong while updating the wrapping(s) status.
You deleted the gift wrapping.,لقد حذفت تغليف الهدايا.
1%,1%
Please select items.,يرجى تحديد الأصناف.
You deleted a total of %1 records.,قمت بحذف مجموعة سجلات %1.
You have not uploaded the image.,لم تقم برفع الصورة.
You saved the gift wrapping.,You saved the gift wrapping.
We can't save the gift wrapping right now.,لا نستطيع حفظ امر تغليف الهدية الآن.
We can't update the image right now.,لانستطيع تحميل الصورة في الوقت الحالي.
Please select,أختر من فضلك
Excluding Tax,Excluding Tax
Including Tax,Including Tax
Including and Excluding Tax,Including and Excluding Tax
None,لا شئ
The image content must be valid data.,The image content must be valid data.
The image extension "%1" not allowed.,The image extension "%1" not allowed.
Provided image name contains forbidden characters.,Provided image name contains forbidden characters.
The image MIME type is not valid or not supported.,The image MIME type is not valid or not supported.
Gift Wrapping with specified ID "%1" not found.,Gift Wrapping with specified ID "%1" not found.
Please enter valid currency code: %1,الرجاء إدخال رمز عملة صحيحة: %1
Unable to remove gift wrapping %1,Unable to remove gift wrapping %1
Printed Card,Printed Card
Use Config Settings,استخدام اعداد الاعدادات
Use Default Value,استخدام قيمة افتراضية
Leave a box blank if you don't want to add gift wrapping for whole order.,اترك المربع فارغاً إذا كنت لاترغب بتغليف المنتج.
Price Excl. Tax,السعر غير شامل الضريبة
Price Incl. Tax,السعر شامل الضريبة
Send Gift Receipt,Send Gift Receipt
Add Printed Card,Add Printed Card
Gift Wrapping for the Entire Order,Gift Wrapping for the Entire Order
Other Gift Options,Other Gift Options
Excl. Tax,غير شامل الضريبة
Incl. Tax,شامل الضريبة
Preview,اعادة المشاهدة
Gift wrapping,Gift wrapping
Printed card,Printed card
Gift receipt,Gift receipt
Pick a paper of your choice (optional),Pick a paper of your choice (optional)
No image,لا توجد صورة
Remove,ازالة
Gift Receipt,Gift Receipt
Allow Gift Wrapping on Order Level,Allow Gift Wrapping on Order Level
Allow Gift Wrapping for Order Items,Allow Gift Wrapping for Order Items
Allow Gift Receipt,Allow Gift Receipt
Allow Printed Card,Allow Printed Card
Default Price for Printed Card,Default Price for Printed Card
Tax Class for Gift Options,Tax Class for Gift Options
Display Gift Wrapping Prices,Display Gift Wrapping Prices
Display Printed Card Prices,Display Printed Card Prices
Delete,احذف
Are you sure you want to delete the selected gift wrappings?,Are you sure you want to delete the selected gift wrappings?
Change Status,تغيير الحالة
ID,التعريف
Gift Wrap Design,Gift Wrap Design
Action,إجراء
Edit,تعديل
Dynamic,ديناميكي
Constant,ثابت
Conversion Color value is not valid "%1". Please set hexadecimal 6-digit value.,تحويل لون قيمة غير صالحة "%1". الرجاء تعيين قيمة 6 أرقام ست عشرية.
Conversion Id value is not valid "%1". Conversion Id should be an integer.,تحويل قيمة معرف غير صالح "%1". يجب أن يكون معرف التحويل عدد صحيح.
Google AdWords,Google AdWords
Enable,تفعيل
Conversion ID,معرف التحويل
Conversion Language,تحويل اللغة
Conversion Format,نوع التحويل
Conversion Color,Conversion Color
Conversion Label,Conversion Label
Conversion Value Type,نوع قيمة التحويل
Conversion Value,قيمة التحويل
Google API,جوجل API
Google Analytics,تحليلات غوغل
Enable,تفعيل
Account Number,رقم الحساب
Anonymize IP,Anonymize IP
Product View Optimization,تحسين طريقة عرض المنتج
Page View Optimization,تحسين طريقة عرض الصفحة
Data key is missing: %1,مفتاح البيانات مفقود: %1
Google Analytics Content Experiments Code,كود Google Analytics Content Experiments
Experiment Code,رمز التجربة
Experiment code should be added to the original page only.,يجب إضافة رمز التجربة إلى الصفحة الأصلية فقط.
Enable Content Experiments,تفعيل Content Experiments
Category View Optimization,تحسين طريقة عرض القسم
Google Analytics Enhanced Ecommerce Settings,جوجل تحليلات المحسن إعدادات التجارة الإلكترونية
Send to Google,إرسال إلى جوجل
Yes,نعم
No,لا
Creative,مبدع
Universal Analytics,التحليلات العالمية
Google Tag Manager,مدير Google Tag
Google Analytics,تحليلات غوغل
Account type,نوع الحساب
Container Id,رقم الحاوية
List property for the catalog page,List property for the catalog page
List property for the cross-sell block,List property for the cross-sell block
List property for the up-sell block,List property for the up-sell block
List property for the related products block,List property for the related products block
List property for the search results page,List property for the search results page
’Internal Promotions’ for promotions field “Label”.,’Internal Promotions’ for promotions field “Label”.
Grouped Products,المنتجات المجمعة
Please specify the quantity of product(s).,الرجاء تحديد كمية المنتج (المنتجات).
Cannot process the item.,لا يمكن معالجة هذا المنتج.
Add Products to Group,إضافة المنتجات للمجموعة
Cancel,إلغاء
Add Selected Products,إضافة منتجات مختارة
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.",تتكون منتج مجمعة من منتجات مستقلة متعددة، التي تقدم كمجموعة. يمكنك تقديم أشكال مختلفة منتج واحد أو مجموعة منهم حسب الموسم أو موضوع لإنشاء مجموعة منسقة. ويمكن شراء كل منتج على حدة، أو كجزء من المجموعة.
Remove,إزالة
ID,التعريف
Thumbnail,صورة مصغره
Name,اسم
Attribute Set,مجموعة السمة
Status,الحاله
SKU,SKU
Price,السعر
Default Quantity,الكمية الافتراضية
Actions,اعمال
Associated Products,المنتجات المرتبطه بها
Availability:,متوفر:
Out of stock,غير متوفر بالمخزن
Product Name,اسم المنتج
Qty,الكميّة
No options of this product are available.,لا توجد خيارات متوفرة لهذا المنتج.
There are no grouped products.,There are no grouped products.
Default Qty,الكمية الافتراضية
Starting at,Starting at
Availability,التوفر
In stock,متوفر
Grouped product items,Grouped product items
Grouped Product Image,تجميع صورة المنتج
Select...,اختر...
Type,النوع
Quantity,الكمية
AttributeSetText,نص تعيين السمة
StatusText,نص الحالة
Select...,اختر...
Status,الحاله
ID,التعريف
Thumbnail,صورة مصغره
Name,اسم
Type,النوع
SKU,SKU
Quantity,الكمية
Price,السعر
Attribute Set,مجموعة السمة
AttributeSetText,نص تعيين السمة
StatusText,نص الحالة
Export,تصدير
Export Settings,إعدادات التصدير
Entity Type,نوع الكيان
Export File Format,تنسيق ملف التصدير
Fields Enclosure,Fields Enclosure
From,من
To,إلى
We can't filter an attribute with no attribute options.,لا يمكن تصفية سمة مع عدم وجود خيارات سمة اخرى.
Fixed Price: From,Fixed Price: From
Exclude,استبعاد
Attribute Label,علامة السمة
Attribute Code,رمز السمة
Filter,تصفية
Unknown attribute filter type,Unknown attribute filter type
Download,تحميل
Check Data,التحقق من صحة البيانات
Import,استيراد
Import Settings,استيراد الإعدادات
Import Behavior,سلوك الاستيراد
Stop on Error,Stop on Error
Skip error entries,Skip error entries
Allowed Errors Count,Allowed Errors Count
Please specify number of errors to halt import process,Please specify number of errors to halt import process
Field separator,Field separator
Multiple value separator,Multiple value separator
Fields enclosure,Fields enclosure
File to Import,File to Import
Select File to Import,Select File to Import
Images File Directory,دليل ملف الصور
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir"
Download Sample File,Download Sample File
Please correct the data sent value.,Please correct the data sent value.
Import/Export,استيراد/تصدير
History,السّجل
Import History,تاريخ الاستيراد
Import history,Import history
There is no sample file for this entity.,There is no sample file for this entity.
Status,الحاله
Maximum error count has been reached or system error is occurred!,Maximum error count has been reached or system error is occurred!
Import successfully done,Import successfully done
"Sorry, but the data is invalid or the file is not uploaded.","Sorry, but the data is invalid or the file is not uploaded."
The file was not uploaded.,The file was not uploaded.
Data validation failed. Please fix the following errors and upload the file again.,Data validation failed. Please fix the following errors and upload the file again.
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4"
This file is empty. Please try another one.,This file is empty. Please try another one.
Please fix errors and re-upload file or simply press "Import" button to skip rows with errors,Please fix errors and re-upload file or simply press "Import" button to skip rows with errors
File is valid! To start import process press "Import" button,File is valid! To start import process press "Import" button
"The file is valid, but we can't import it for some reason.","الملف صالح, لكن لا نستطيع استيراده لسبب ما."
Show more,Show more
Additional data,Additional data
Following Error(s) has been occurred during importing process:,تم حدوث الخطأ (الأخطاء) التالية أثناء عملية الاستيراد:
Only the first 100 errors are shown.,Only the first 100 errors are shown.
Download full report,Download full report
in row(s):,in row(s):
Make sure your file isn't more than %1M.,تأكد من أن الملف ليس أكثر من %1M.
We can't provide the upload settings right now.,لا يمكننا توفير إعدادات التحميل الآن.
"Created: %1, Updated: %2, Deleted: %3","Created: %1, Updated: %2, Deleted: %3"
Please enter a correct entity model.,Please enter a correct entity model.
The entity adapter object must be an instance of %1 or %2.,The entity adapter object must be an instance of %1 or %2.
The input entity code is not equal to entity adapter code.,The input entity code is not equal to entity adapter code.
Please enter a correct entity.,Please enter a correct entity.
The adapter object must be an instance of %1.,The adapter object must be an instance of %1.
Please correct the file format.,Please correct the file format.
Begin export of %1,Begin export of %1
There is no data for the export.,There is no data for the export.
Exported %1 rows.,Exported %1 rows.
The export is finished.,The export is finished.
Please provide filter data.,Please provide filter data.
We can't determine the attribute filter type.,لا يمكننا تحديد نوع عامل تصفية السمة.
Entity is unknown,Entity is unknown
We can't identify this file format.,لا يمكن التعرف على تنسيق هذا الملف.
Please correct the value for "%1" column.,Please correct the value for "%1" column.
Please specify the writer.,Please specify the writer.
The destination file path must be a string.,The destination file path must be a string.
The destination directory is not writable.,The destination directory is not writable.
Destination file is not writable,Destination file is not writable
The header column names are already set.,The header column names are already set.
in row(s),in row(s)
The validation is complete.,The validation is complete.
This file does not contain any data.,This file does not contain any data.
Begin import of "%1" with "%2" behavior,Begin import of "%1" with "%2" behavior
The import was successful.,The import was successful.
The file you uploaded has no extension.,The file you uploaded has no extension.
The source file moving process failed.,The source file moving process failed.
Begin data validation,Begin data validation
Import data validation is complete.,Import data validation is complete.
The behavior token for %1 is invalid.,The behavior token for %1 is invalid.
Please enter a correct entity model,Please enter a correct entity model
Source file coping failed,Source file coping failed
The source is not set.,The source is not set.
The adapter type must be a non-empty string.,The adapter type must be a non-empty string.
%1' file extension is not supported,صيغة '%1' غير مدعومة
Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource,Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource
Please specify a source.,Please specify a source.
ImportExport: Import Data validation - Validation strategy not found,ImportExport: Import Data validation - Validation strategy not found
Cannot get autoincrement value,Cannot get autoincrement value
Error in data structure: %1 values are mixed,Error in data structure: %1 values are mixed
-- Please Select --,--الرجاء الاختيار-
label,التسمية
Add/Update,Add/Update
Replace,Replace
Delete,احذف
Note: Product IDs will be regenerated.,Note: Product IDs will be regenerated.
Add/Update Complex Data,Add/Update Complex Data
Delete Entities,Delete Entities
Custom Action,Custom Action
Error message,Error message
URL key for specified store already exists.,مفتاح URL للمتجر المحدد موجود بالفعل.
Entity Attributes,Entity Attributes
Continue,استمر
Validation Results,Validation Results
ID,التعريف
Start Date&Time,Start Date&Time
User,المستخدم
Imported File,Imported File
Error File,Error File
Execution Time,Execution Time
Summary,خلاصة
Indexer Management,إدارة الفهرس
Update by Schedule,تحديث بالجدول الزمني
Update on Save,التحديث عند الحفظ
Reindex required,يجب إعادة الفهرسة
Ready,جاهز
Processing,المعالجة
Never,مطلقاً
%1 index is locked by another reindex process. Skipping.,%1 index is locked by another reindex process. Skipping.
Index Management,إدارة الفهرس
Please select indexers.,Please select indexers.
%1 indexer(s) are in "Update by Schedule" mode.,%1 indexer(s) are in "Update by Schedule" mode.
We couldn't change indexer(s)' mode because of an error.,We couldn't change indexer(s)' mode because of an error.
%1 indexer(s) are in "Update on Save" mode.,%1 indexer(s) are in "Update on Save" mode.
One or more <a href="%1">indexers are invalid</a>. Make sure your <a href="%2" target="_blank">Magento cron job</a> is running.,One or more <a href="%1">indexers are invalid</a>. Make sure your <a href="%2" target="_blank">Magento cron job</a> is running.
State for the same indexer,State for the same indexer
State for the same view,State for the same view
Field '%1' not found,Field '%1' not found
Some Exception Message,Some Exception Message
Test Phrase,اختبار العبارة
Change indexer mode,Change indexer mode
Indexer,المفهرس
Description,الوصف
Mode,Mode
Status,الحاله
Updated,محدث
Integrations,الدمج
Add New Integration,دمج جديد
API,API
Save,حفظ
Save & Activate,حفظ و تفعيل
New Integration,دمج جديد
Edit Integration '%1',تعديل الدمج '%1'
Integration Info,معلومات الدمج
General,عام
Name,اسم
Email,البريد الإلكتروني
Callback URL,عنوان رد الاتصال
Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.,Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.
Identity link URL,Identity link URL
URL to redirect user to link their 3rd party account with this Magento integration credentials.,URL to redirect user to link their 3rd party account with this Magento integration credentials.
Current User Identity Verification,التحقق من هوية المستخدم الحالية
Your Password,كلمة المرور الخاصة بك
Integration Details,Integration Details
Basic Settings,الإعدادات الأساسيّة
Integration Tokens for Extensions,Integration Tokens for Extensions
Consumer Key,مفتاح المستهلك
Consumer Secret,سر المستهلك
Access Token,Access Token
Access Token Secret,Access Token Secret
Uninstall the extension to remove this integration,Uninstall the extension to remove this integration
Remove,ازالة
View,عرض
Edit,تعديل
Activate,تفعيل
Reauthorize,إعادة اذن
